state_id,display_name,tautomer_family,protonation_state,formal_charge,canonical_smiles,sdf_path,pdbqt_path
current_neutral,Current neutral,bound_like,neutral,0,O=C(NCc1ncccc1F)c1coc(CCNCCc2nc3ccccc3[nH]2)n1,data/prepared/ligands/redocking_state_panel/current_neutral.sdf,data/prepared/ligands/redocking_state_panel/current_neutral.pdbqt
current_linker_protonated,Current linker-protonated,bound_like,linker_amine_protonated,1,O=C(NCc1ncccc1F)c1coc(CC[NH+]CCc2nc3ccccc3[nH]2)n1,data/prepared/ligands/redocking_state_panel/current_linker_protonated.sdf,data/prepared/ligands/redocking_state_panel/current_linker_protonated.pdbqt
alt_tautomer_neutral,Alternative tautomer neutral,alternative_keto_tautomer,neutral,0,O=C(NCc1ncccc1F)C1=COC(=CCNCCc2nc3ccccc3[nH]2)N1,data/prepared/ligands/redocking_state_panel/alt_tautomer_neutral.sdf,data/prepared/ligands/redocking_state_panel/alt_tautomer_neutral.pdbqt
alt_tautomer_linker_protonated,Alternative tautomer linker-protonated,alternative_keto_tautomer,linker_amine_protonated,1,O=C(NCc1ncccc1F)C1=COC(=CC[NH+]CCc2nc3ccccc3[nH]2)N1,data/prepared/ligands/redocking_state_panel/alt_tautomer_linker_protonated.sdf,data/prepared/ligands/redocking_state_panel/alt_tautomer_linker_protonated.pdbqt
