config_id,box_scale,size_x,size_y,size_z,exhaustiveness,top_score_kcal_mol,top_rmsd_to_reference,top_shared_contact_count,top_reference_contact_recovery,top_shared_contacts,best_rmsd_mode_rank,best_rmsd_mode_score_kcal_mol,best_rmsd_to_reference,best_rmsd_shared_contact_count,best_rmsd_reference_contact_recovery,best_rmsd_shared_contacts,top_pose_pdb,best_rmsd_pose_pdb,dock_log,dock_sdf
box_084_ex16,0.84,15.12,15.12,18.766,16,-7.945,2.0844442400987737,10,1.0,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,1,-7.945,2.0844442400987737,10,1.0,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/setup_sweep/box_084_ex16/top_pose.pdb,results/docking/validation/setup_sweep/box_084_ex16/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_084_ex16/box_084_ex16_dock.log,results/docking/validation/setup_sweep/box_084_ex16/box_084_ex16_dock_out.sdf
box_084_ex32,0.84,15.12,15.12,18.766,32,-7.945,2.0844442400987737,10,1.0,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,1,-7.945,2.0844442400987737,10,1.0,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/setup_sweep/box_084_ex32/top_pose.pdb,results/docking/validation/setup_sweep/box_084_ex32/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_084_ex32/box_084_ex32_dock.log,results/docking/validation/setup_sweep/box_084_ex32/box_084_ex32_dock_out.sdf
box_092_ex16,0.9199999999999999,16.56,16.56,20.553,16,-7.063,3.104877766250765,4,0.4,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU,17,-6.418,1.2183951826002062,5,0.5,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP,results/docking/validation/setup_sweep/box_092_ex16/top_pose.pdb,results/docking/validation/setup_sweep/box_092_ex16/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_092_ex16/box_092_ex16_dock.log,results/docking/validation/setup_sweep/box_092_ex16/box_092_ex16_dock_out.sdf
box_100_ex32,1.0,18.0,18.0,22.34,32,-6.923,3.1355489254548012,5,0.5,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:504:ASP,7,-6.768,1.8504969220258567,9,0.9,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/setup_sweep/box_100_ex32/top_pose.pdb,results/docking/validation/setup_sweep/box_100_ex32/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_100_ex32/box_100_ex32_dock.log,results/docking/validation/setup_sweep/box_100_ex32/box_100_ex32_dock_out.sdf
box_100_ex64,1.0,18.0,18.0,22.34,64,-6.923,3.1355489254548012,5,0.5,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:504:ASP,7,-6.768,1.8504969220258567,9,0.9,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/setup_sweep/box_100_ex64/top_pose.pdb,results/docking/validation/setup_sweep/box_100_ex64/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_100_ex64/box_100_ex64_dock.log,results/docking/validation/setup_sweep/box_100_ex64/box_100_ex64_dock_out.sdf
box_092_ex64,0.9199999999999999,16.56,16.56,20.553,64,-6.75,3.213014775175232,5,0.5,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:504:ASP,9,-6.492,2.0580906450266445,9,0.9,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/setup_sweep/box_092_ex64/top_pose.pdb,results/docking/validation/setup_sweep/box_092_ex64/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_092_ex64/box_092_ex64_dock.log,results/docking/validation/setup_sweep/box_092_ex64/box_092_ex64_dock_out.sdf
box_092_ex32,0.9199999999999999,16.56,16.56,20.553,32,-7.469,3.280863979795861,6,0.6,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:504:ASP,14,-7.007,1.8777265077837733,4,0.4,A:318:TYR;A:466:ARG;A:469:LEU;A:473:ASP,results/docking/validation/setup_sweep/box_092_ex32/top_pose.pdb,results/docking/validation/setup_sweep/box_092_ex32/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_092_ex32/box_092_ex32_dock.log,results/docking/validation/setup_sweep/box_092_ex32/box_092_ex32_dock_out.sdf
box_100_ex16,1.0,18.0,18.0,22.34,16,-7.436,3.4351087373253915,6,0.6,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:504:ASP,19,-6.646,1.1084828110544243,9,0.9,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/setup_sweep/box_100_ex16/top_pose.pdb,results/docking/validation/setup_sweep/box_100_ex16/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_100_ex16/box_100_ex16_dock.log,results/docking/validation/setup_sweep/box_100_ex16/box_100_ex16_dock_out.sdf
box_084_ex64,0.84,15.12,15.12,18.766,64,-6.458,3.906349590141624,5,0.5,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:504:ASP,2,-6.388,2.0844442400987737,10,1.0,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/setup_sweep/box_084_ex64/top_pose.pdb,results/docking/validation/setup_sweep/box_084_ex64/best_rmsd_pose.pdb,results/docking/validation/setup_sweep/box_084_ex64/box_084_ex64_dock.log,results/docking/validation/setup_sweep/box_084_ex64/box_084_ex64_dock_out.sdf
