state_id,display_name,tautomer_family,protonation_state,formal_charge,canonical_smiles,top_mode_rank,top_score_kcal_mol,top_rmsd_to_reference,top_shared_contact_count,top_reference_contact_recovery,top_shared_contacts,top_pose_pdb,best_rmsd_mode_rank,best_rmsd_mode_score_kcal_mol,best_rmsd_to_reference,best_rmsd_shared_contact_count,best_rmsd_reference_contact_recovery,best_rmsd_shared_contacts,best_rmsd_pose_pdb,dock_log,dock_sdf
current_neutral,Current neutral,bound_like,neutral,0,O=C(NCc1ncccc1F)c1coc(CCNCCc2nc3ccccc3[nH]2)n1,1,-6.947,3.298533850661264,5,0.5,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP,results/docking/validation/state_panel/current_neutral/top_pose.pdb,11,-6.556,1.560244212910665,8,0.8,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:469:LEU;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/state_panel/current_neutral/best_rmsd_pose.pdb,results/docking/validation/state_panel/current_neutral/current_neutral_dock.log,results/docking/validation/state_panel/current_neutral/current_neutral_dock_out.sdf
current_linker_protonated,Current linker-protonated,bound_like,linker_amine_protonated,1,O=C(NCc1ncccc1F)c1coc(CC[NH+]CCc2nc3ccccc3[nH]2)n1,1,-7.436,3.4351087373253915,6,0.6,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:504:ASP,results/docking/validation/state_panel/current_linker_protonated/top_pose.pdb,19,-6.646,1.1084828110544243,9,0.9,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/state_panel/current_linker_protonated/best_rmsd_pose.pdb,results/docking/validation/state_panel/current_linker_protonated/current_linker_protonated_dock.log,results/docking/validation/state_panel/current_linker_protonated/current_linker_protonated_dock_out.sdf
alt_tautomer_neutral,Alternative tautomer neutral,alternative_keto_tautomer,neutral,0,O=C(NCc1ncccc1F)C1=COC(=CCNCCc2nc3ccccc3[nH]2)N1,1,-7.404,3.2148697429759547,5,0.5,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:504:ASP,results/docking/validation/state_panel/alt_tautomer_neutral/top_pose.pdb,11,-6.525,2.3275906302001905,10,1.0,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/state_panel/alt_tautomer_neutral/best_rmsd_pose.pdb,results/docking/validation/state_panel/alt_tautomer_neutral/alt_tautomer_neutral_dock.log,results/docking/validation/state_panel/alt_tautomer_neutral/alt_tautomer_neutral_dock_out.sdf
alt_tautomer_linker_protonated,Alternative tautomer linker-protonated,alternative_keto_tautomer,linker_amine_protonated,1,O=C(NCc1ncccc1F)C1=COC(=CC[NH+]CCc2nc3ccccc3[nH]2)N1,1,-7.682,3.5163339348534177,6,0.6,A:318:TYR;A:320:THR;A:466:ARG;A:469:LEU;A:473:ASP;A:504:ASP,results/docking/validation/state_panel/alt_tautomer_linker_protonated/top_pose.pdb,15,-7.02,1.0523056941696265,9,0.9,A:64:TYR;A:68:VAL;A:318:TYR;A:320:THR;A:469:LEU;A:473:ASP;A:501:TYR;A:504:ASP;A:508:PHE,results/docking/validation/state_panel/alt_tautomer_linker_protonated/best_rmsd_pose.pdb,results/docking/validation/state_panel/alt_tautomer_linker_protonated/alt_tautomer_linker_protonated_dock.log,results/docking/validation/state_panel/alt_tautomer_linker_protonated/alt_tautomer_linker_protonated_dock_out.sdf
